Date,משחה ערב,משחה בוקר,לדבר עם חבר,קריאה באנגלית,שכיבות סמיכה,הקלדה,מדיטציה,שינון מילים,דיבור באנגלית,גיטהאב,קוח,תרגילי מחשבה,ליטקוד,אירובי,שיפור טכנולוגיות לעבודה,סיכום תוכן בעבודה,התאמנות על הצגה עצמית,ויטמין C,אסטקסנטין,
2024-09-25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,
2024-09-24,-1,-1,-1,-1,103000,8000,-1,6000,-1,-1,35000,2000,50000,8000,54000,66000,1000,2,2,
2024-09-23,-1,2,-1,-1,-1,14000,-1,-1,-1,-1,4000,4000,25000,-1,13000,-1,1000,1,1,
2024-09-22,2,-1,2,-1,107000,10000,7000,18000,-1,22000,3000,5000,105000,5000,15000,-1,2000,2,2,
2024-09-21,-1,-1,-1,-1,-1,1000,-1,-1,-1,-1,-1,20000,25000,-1,-1,-1,-1,1,1,
2024-09-20,2,-1,-1,-1,-1,7000,-1,-1,-1,-1,-1,11000,90000,-1,-1,-1,-1,2,2,
2024-09-19,-1,-1,-1,-1,-1,6000,-1,8000,-1,-1,-1,12000,15000,-1,-1,-1,-1,-1,-1,
2024-09-18,-1,-1,2,-1,-1,6000,-1,11000,-1,-1,6000,18000,-1,-1,0,28000,2000,-1,-1,
2024-09-17,-1,-1,2,-1,-1,6000,-1,-1,-1,-1,34000,5000,35000,-1,-1,-1,3000,-1,-1,
2024-09-16,-1,-1,2,-1,-1,6000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
2024-09-15,-1,2,2,-1,-1,6000,-1,15000,-1,-1,40000,-1,45000,-1,-1,-1,-1,1,1,
2024-09-14,0,0,-1,-1,100000,6000,-1,5000,-1,10000,-1,7000,80000,20000,36000,-1,1000,2,2,
2024-09-13,2,-1,-1,0,-1,-1,-1,9000,2000,-1,-1,-1,60000,10000,-1,-1,-1,-1,-1,
2024-09-12,0,2,-1,0,-1,-1,-1,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,
2024-09-11,-1,-1,-1,20000,-1,31000,3000,40000,5000,11000,-1,30000,-1,20000,0,10000,-1,-1,-1,
2024-09-10,-1,-1,-1,20000,-1,-1,-1,-1,15000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-09,-1,-1,-1,20000,50000,-1,-1,-1,75000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-08,-1,-1,-1,20000,50000,-1,-1,-1,15000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-07,-1,-1,-1,20000,-1,-1,-1,-1,10000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-06,-1,-1,-1,20000,-1,-1,-1,-1,5000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-05,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-04,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-03,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
2024-09-02,-1,-1,-1,-1,-1,-1,-1,-1,10000,-1,-1,-1,-1,15000,-1,-1,-1,-1,-1,
