word,answer
downy,דאוני<hr>Vin watched the downy flakes drift through the air. 
drafty,"טיוטה<hr>""All ancestral homes are drafty."" "
drawbridge,גשר משיכה<hr>There is also a drawbridge that they have raised. 
drawstring,שרוך<hr>Samuel had a leather bag held closed with a drawstring. 
droplets,טיפות<hr>Clouds of steam billowed up as they all worked to contain any errant droplets of the tenacious fire. 
drudgery,עבודת פרך<hr>Most skaa lived lives of drudgery on the plantations; even those who lived in a city were generally forced to do menial labor. 
ducked,"ברווז<hr>Vin shot him a glare he couldn’t see, but ducked her head back inside, waiting with impatient nervousness as the carriage pulled up to the massive keep. "
dull,"עמום<hr>The newcomer wore a dull tan overcoat, a pair of brown trousers, and a simple white shirt. "
dumbfounded,המום<hr>Richard was dumbfounded. 
dumped,"זרק<hr>Other men had simple, weighted tampers to pack the new dirt as it was dumped. "
dupe,"הונאה<hr>“We’re going to need someone to be our dupe with the nobility. </hr>“You’re letting them dupe you, Vin. "
duplex,"דופלקס<hr>“The point is,” he said, taking her arm and turning her back to the glowing lines and the subject at hand, “I remembered from reading that book many, many years ago that it talked about techniques to duplex spell-forms. "
dwindle,"הידלדלות<hr>“Our numbers dwindle,” Tam said. "
dyes,"צבעים<hr>My family works in trading dyes, specifically blushdip red, from the snails that are common there, and callowfield yellow, made from tree bark. "
eddy,אדי<hr>For me to be this blind to events that eddy so tightly through my purview can only mean that another witch woman has deliberately occulted those flows from me.” 
edict,צו<hr>The emblems engraved in this talisman are the symbolic representation of the way of the primary edict.” 
eerie,"מפחיד<hr>The obligator smiled; he likely meant it to be disarming, but Tresting only found it eerie. "
emblem,סמל<hr>The whole palace itself was constructed in the form of an emblem. 
emblematic,סמלי<hr>The form is emblematic.” 
emblems,"סמלים<hr>“I understand the jargon of emblems,” he said, absently, as he found the primary thread and traced it along a rise and fall and swirl of the pattern, all the time coming more in tune with its intent. "
embodied,"מגולם<hr>Prophecy only expressed the formality of what Nicci knew, that Richard embodied the values that promoted life. "
emissary,"שליח<hr>“Once, the queen sent an emissary to ask if I would recant my vision. "
encased,"עטוף<hr>More than anything, she wanted out of the terrible tangle of crushing power that encased her. "
enclave,מובלעת<hr>“And how does this connect with the symbols at the First Wizard’s enclave?” 
enflame,"להבה<hr>You can dampen my emotions, but can you enflame them too?” "
entice,"לפתות<hr>What would entice such a man—one who had, by skaa standards, an amazing life—to risk joining the underground? "
enticing,"מפתה<hr>Still, the smell was enticing. </hr>Indeed, she was hardly enticing; scrawny with a youthful face, she supposedly didn’t even look her sixteen years. "
enviable,"מעורר קנאה<hr>“You are in an enviable position, child,” Shan said. "
envisioned,בחזונו<hr>Nicci had come to believe that Richard might actually understand magic in a way not envisioned by anyone since ancient times. 
erodes,נשחק<hr>That is the paradox of such contamination; it erodes your ability to detect its presence. 
eroding,"שחיקה<hr>I think that the destruction is expanding through everyone’s memory—that their minds are eroding, as you put it. "
erroneous,"שגוי<hr>They postulated that there was a method to alter people’s memory with Subtractive power in a way that all the resulting disconnected parts of a person’s recollection would spontaneously reconstruct and connect themselves to one another, with the direct consequence being the creation of erroneous memory to fill the voids that had been created when the subject of the conjuring was wiped from people’s minds. "
esoteric,"אזוטרי<hr>There had been debate about it, of course, but no one could ever offer a purpose for such an esoteric book of magic. "
espionage,"ריגול<hr>It was nearly impossible to keep anything a secret, especially from her sisters, the youngest of whom—Hyacinth—could probably have won the war against Napoleon in half the time if His Majesty had only thought to draft her into the espionage service. "
etiquette,"נימוסי<hr>However, the people of the court have had their entire lives to study etiquette. "
eunuch,"הסריס<hr>He’s a eunuch, you fool. "
eunuchs,"סריסים<hr>“All Terrisman stewards are eunuchs, child. "
exasperation,"כעס<hr>“Important,” Ann repeated in weary exasperation. </hr>Vin asked with exasperation. "
executive,"אקזקיוטיב<hr>E L James FIFTY SHADES DARKER E L James is a former TV executive, wife, and mother of two based in West London. "
exhilarating,"מלהיב<hr>Kahlan had just won her first battle, and that accomplishment was exhilarating. "
expeditionary,המשלוח<hr>They are only one of Jagang’s expeditionary forces.” 
Exterior,"החיצוני<hr>“Exterior,” Sister Cecilia corrected. "
extravagance,"פזרנות<hr>Not like you, a pompous little twit who thinks herself important because of the extravagance of her tantrums, but a real queen. "
exuberance,"התרוממות רוח<hr>Despite everything on his mind, he could not help but to smile at Berdine’s exuberance. "
