Position,Name,Question,Description,NumRepetitions,Interval,Color
001,משחה ערב,,,1,1,#D32F2F
002,משחה בוקר,,,1,1,#F9A825
003,לדבר עם חבר,,,1,1,#303030
004,קריאה באנגלית,כמה עמודים קראת היום?,,1,1,#1976D2
005,שכיבות סמיכה,כמה שכיבות סמיכה עשית היום?,,1,7,#D32F2F
006,הקלדה,כמה דקות הקלדת היום?,,1,1,#5D4037
007,מדיטציה,כמה דקות עשית מדיטציה?,,1,7,#303030
008,שינון מילים,כמה מילים שיננת היום?,3 דקות,1,1,#388E3C
009,דיבור באנגלית,כמה דקות התאמנת בדיבור באנגלית?,,1,1,#F9A825
010,גיטהאב,כמה דקות שיפרת את הגיטהאב היום?,,1,7,#303030
011,קוח,כמה דקות עבדת על הקורות חיים שלך?,,1,1,#303F9F
012,תרגילי מחשבה,כמה דקות תירגלת היום?,,1,1,#00ACC1
013,ליטקוד,,,1,1,#F57C00
014,אירובי,,,1,7,#1976D2
015,שיפור טכנולוגיות לעבודה,,,1,1,#303030
016,סיכום תוכן בעבודה,,,1,1,#1976D2
017,התאמנות על הצגה עצמית,,,1,1,#7CB342
018,ויטמין C,לקחת ויטמין C היום?,,1,2,#7CB342
019,אסטקסנטין,לקחת כדור אחרי הארוחה?,,1,2,#E64A19
