Date,משחה ערב,משחה בוקר,לדבר עם חבר,קריאה באנגלית,שכיבות סמיכה,הקלדה,מדיטציה,שינון מילים,דיבור באנגלית,גיטהאב,קוח,תרגילי מחשבה,ליטקוד,אירובי,שיפור טכנולוגיות לעבודה,סיכום תוכן בעבודה,התאמנות על הצגה עצמית,ויטמין C,אסטקסנטין,
2024-09-25,0.1397,0.1678,0.2438,0.1796,0.1979,0.4895,0.2612,0.2997,0.2533,0.1256,0.1951,0.3602,0.4429,0.5364,0.2132,0.1178,0.2794,0.3794,0.3791,
2024-09-24,0.1474,0.1770,0.2572,0.1894,0.1816,0.5163,0.2461,0.3161,0.2671,0.1244,0.2058,0.3799,0.4672,0.5385,0.2249,0.1243,0.2947,0.3556,0.3553,
2024-09-23,0.1555,0.1867,0.2713,0.1998,0.1649,0.4898,0.2308,0.2786,0.2818,0.1232,0.1623,0.3851,0.4380,0.5407,0.1824,0.0763,0.2560,0.3308,0.3305,
2024-09-22,0.1640,0.1422,0.2861,0.2107,0.1579,0.4619,0.2151,0.2939,0.2972,0.1220,0.1492,0.3749,0.4072,0.5483,0.1377,0.0805,0.2153,0.3051,0.3048,
2024-09-21,0.1182,0.1499,0.2470,0.2223,0.1508,0.4324,0.1991,0.2552,0.3135,0.1207,0.1410,0.3563,0.3748,0.5561,0.0904,0.0849,0.1723,0.2784,0.2781,
2024-09-20,0.1247,0.1582,0.2606,0.2344,0.1538,0.4469,0.2032,0.2692,0.3306,0.1232,0.1487,0.3210,0.3405,0.5674,0.0954,0.0896,0.1817,0.2699,0.2695,
2024-09-19,0.0767,0.1668,0.2748,0.2473,0.1473,0.4166,0.2073,0.2839,0.3487,0.1240,0.1568,0.2839,0.3044,0.5654,0.1006,0.0945,0.1917,0.2611,0.2607,
2024-09-18,0.0809,0.1759,0.2899,0.2608,0.1406,0.3847,0.2116,0.2447,0.3678,0.1248,0.1654,0.2446,0.2663,0.5565,0.1061,0.0997,0.2022,0.2711,0.2707,
2024-09-17,0.0854,0.1856,0.2510,0.2751,0.1337,0.3510,0.2159,0.2033,0.3880,0.1257,0.1416,0.2033,0.2809,0.5475,0.1119,0.0504,0.1585,0.2815,0.2811,
2024-09-16,0.0901,0.1957,0.2100,0.2902,0.1268,0.3155,0.2115,0.2145,0.4092,0.1247,0.0946,0.1753,0.2415,0.5383,0.1181,0.0531,0.1124,0.2731,0.2727,
2024-09-15,0.0950,0.2065,0.1667,0.3061,0.1196,0.2780,0.2071,0.2262,0.4316,0.1237,0.0998,0.1849,0.2548,0.5289,0.1245,0.0560,0.1186,0.2644,0.2640,
2024-09-14,0.1002,0.1630,0.1211,0.3228,0.1075,0.2384,0.2026,0.1839,0.4553,0.1226,0.0505,0.1950,0.2140,0.5193,0.1314,0.0591,0.1251,0.2553,0.2549,
2024-09-13,0.1057,0.1719,0.1277,0.3405,0.0903,0.1967,0.1980,0.1392,0.4802,0.1216,0.0533,0.1509,0.1709,0.5095,0.0838,0.0623,0.0771,0.2459,0.2455,
2024-09-12,0.0567,0.1814,0.1347,0.3592,0.0825,0.2075,0.1933,0.0920,0.4956,0.1222,0.0562,0.1592,0.1255,0.4995,0.0884,0.0657,0.0814,0.2554,0.2549,
2024-09-11,0.0598,0.1365,0.1421,0.3788,0.0745,0.2189,0.1885,0.0971,0.5227,0.1228,0.0483,0.1679,0.1324,0.4893,0.0932,0.0693,0.0858,0.2652,0.2647,
2024-09-10,0.0631,0.1440,0.1499,0.3448,0.0663,0.1761,0.1836,0.0476,0.5239,0.1234,0.0510,0.1223,0.1396,0.4789,0.0983,0.0184,0.0905,0.2754,0.2749,
2024-09-09,0.0665,0.1519,0.1581,0.3089,0.0580,0.1857,0.1874,0.0502,0.4979,0.1259,0.0537,0.1290,0.1473,0.4683,0.1037,0.0194,0.0955,0.2860,0.2854,
2024-09-08,0.0702,0.1602,0.1667,0.2711,0.0494,0.1959,0.1912,0.0530,0.4704,0.1285,0.0567,0.1361,0.1553,0.4575,0.1094,0.0204,0.1007,0.2970,0.2964,
2024-09-07,0.0740,0.1690,0.1759,0.2312,0.0456,0.2066,0.1951,0.0559,0.4414,0.1311,0.0598,0.1435,0.1638,0.4464,0.1154,0.0215,0.1062,0.3084,0.3078,
2024-09-06,0.0781,0.1782,0.1855,0.1890,0.0465,0.2179,0.1991,0.0589,0.4108,0.1338,0.0631,0.1514,0.1728,0.4352,0.1217,0.0227,0.1120,0.3202,0.3196,
2024-09-05,0.0823,0.1880,0.1956,0.1446,0.0475,0.2299,0.2031,0.0621,0.4059,0.1365,0.0665,0.1597,0.1823,0.4237,0.1284,0.0240,0.1182,0.3325,0.3319,
2024-09-04,0.0869,0.1983,0.2064,0.1526,0.0484,0.2425,0.2072,0.0655,0.3734,0.1388,0.0702,0.1684,0.1923,0.4119,0.1354,0.0253,0.1247,0.3453,0.3446,
2024-09-03,0.0916,0.2091,0.2177,0.1609,0.0494,0.2557,0.2115,0.0691,0.3390,0.1411,0.0740,0.1777,0.2028,0.4000,0.1428,0.0267,0.1315,0.3586,0.3579,
2024-09-02,0.0966,0.2206,0.2296,0.1697,0.0504,0.2697,0.2158,0.0729,0.3028,0.1434,0.0781,0.1874,0.2139,0.3878,0.1506,0.0281,0.1387,0.3723,0.3716,
2024-09-01,0.1019,0.2327,0.2422,0.1790,0.0515,0.2845,0.2202,0.0769,0.2647,0.1459,0.0823,0.1977,0.2256,0.3753,0.1589,0.0297,0.1463,0.3867,0.3859,
2024-08-31,0.1075,0.1907,0.2554,0.1888,0.0525,0.3001,0.2246,0.0811,0.2244,0.1483,0.0868,0.2085,0.2380,0.3626,0.1676,0.0313,0.0995,0.4015,0.4007,
2024-08-30,0.1134,0.2011,0.2694,0.1992,0.0536,0.3165,0.2292,0.0856,0.2367,0.1508,0.0916,0.2199,0.2510,0.3496,0.1768,0.0330,0.1050,0.3977,0.3969,
2024-08-29,0.1196,0.2121,0.2294,0.2101,0.0547,0.2791,0.2339,0.0903,0.2496,0.1534,0.0966,0.2319,0.2100,0.3364,0.1864,0.0348,0.1107,0.3938,0.3930,
2024-08-28,0.1261,0.2237,0.2420,0.2216,0.0558,0.2944,0.2386,0.0952,0.2085,0.1565,0.1019,0.2446,0.2215,0.3229,0.1967,0.0367,0.1168,0.3897,0.3888,
2024-08-27,0.1331,0.1812,0.2552,0.2337,0.0569,0.2740,0.2435,0.1004,0.1652,0.1546,0.1075,0.2033,0.2336,0.3091,0.2074,0.0387,0.1232,0.3855,0.3846,
2024-08-26,0.1403,0.1911,0.2692,0.2465,0.0581,0.2890,0.2485,0.1059,0.1195,0.1527,0.1134,0.2144,0.2464,0.2950,0.2188,0.0409,0.1299,0.4003,0.3993,
2024-08-25,0.1480,0.2016,0.2839,0.2600,0.0593,0.3048,0.2535,0.1117,0.0713,0.1507,0.1196,0.2262,0.2599,0.2807,0.2308,0.0431,0.1370,0.4157,0.4147,
2024-08-24,0.1561,0.2127,0.2995,0.2742,0.0605,0.3215,0.2587,0.1178,0.0752,0.1487,0.1261,0.2385,0.2741,0.2660,0.2434,0.0455,0.1445,0.4124,0.4114,
2024-08-23,0.1647,0.2243,0.3159,0.2893,0.0617,0.3391,0.2639,0.1243,0.0793,0.1466,0.1330,0.2516,0.2891,0.2511,0.2567,0.0479,0.1525,0.4091,0.4080,
2024-08-22,0.1737,0.2366,0.3332,0.3051,0.0629,0.3577,0.2693,0.1311,0.0836,0.1445,0.1403,0.2654,0.3050,0.2358,0.2708,0.0506,0.1608,0.4056,0.4045,
2024-08-21,0.1285,0.2495,0.3514,0.2670,0.0642,0.3225,0.2748,0.1383,0.0882,0.1423,0.1480,0.2251,0.3217,0.2203,0.2309,0.0533,0.1696,0.3827,0.3816,
2024-08-20,0.1355,0.2632,0.3707,0.2817,0.0655,0.3219,0.2600,0.1458,0.0930,0.1385,0.1561,0.2375,0.3393,0.2044,0.2435,0.0563,0.1789,0.3782,0.3770,
2024-08-19,0.1429,0.2776,0.3910,0.2971,0.0669,0.3396,0.2450,0.1538,0.0981,0.1345,0.1647,0.2505,0.3579,0.1882,0.2568,0.0593,0.1887,0.3735,0.3723,
2024-08-18,0.1507,0.2928,0.4124,0.3134,0.0682,0.3582,0.2296,0.1623,0.1035,0.1304,0.1737,0.2642,0.3227,0.1717,0.2161,0.0626,0.1990,0.3495,0.3482,
2024-08-17,0.1590,0.3089,0.3802,0.2758,0.0696,0.3230,0.2139,0.1711,0.1092,0.1263,0.1832,0.2787,0.2856,0.1548,0.1732,0.0660,0.1552,0.3437,0.3424,
2024-08-16,0.1677,0.3258,0.4010,0.2909,0.0710,0.3407,0.1979,0.1805,0.1151,0.1221,0.1932,0.2939,0.3013,0.1376,0.1827,0.0696,0.1637,0.3185,0.3171,
2024-08-15,0.1769,0.3436,0.3682,0.3068,0.0725,0.3593,0.1816,0.1904,0.1214,0.1178,0.2038,0.3100,0.3178,0.1404,0.1927,0.0735,0.1726,0.2923,0.2909,
2024-08-14,0.1866,0.3077,0.3336,0.2688,0.0740,0.3243,0.1649,0.1461,0.0733,0.1134,0.1602,0.2722,0.2804,0.1297,0.2032,0.0775,0.1821,0.2651,0.2636,
2024-08-13,0.1968,0.2698,0.2971,0.2288,0.0755,0.3420,0.1508,0.1541,0.0773,0.1149,0.1690,0.2872,0.2410,0.1188,0.2144,0.0817,0.1921,0.2369,0.2353,
2024-08-12,0.2076,0.2298,0.2586,0.1866,0.0770,0.3060,0.1364,0.1625,0.0816,0.1164,0.1618,0.2481,0.1994,0.1022,0.1714,0.0862,0.1478,0.2268,0.2252,
2024-08-11,0.2189,0.1876,0.2180,0.1420,0.0786,0.2680,0.1218,0.1714,0.0860,0.1162,0.1707,0.2617,0.2103,0.0839,0.1260,0.0909,0.1011,0.1970,0.1954,
2024-08-10,0.2309,0.1431,0.1752,0.0950,0.0705,0.2279,0.1039,0.1808,0.0908,0.1135,0.1800,0.2291,0.2219,0.0652,0.1329,0.0959,0.0519,0.1854,0.1837,
2024-08-09,0.2436,0.1509,0.1848,0.0454,0.0622,0.2404,0.0857,0.1907,0.0957,0.1107,0.1899,0.2416,0.2340,0.0462,0.1401,0.1011,0.0000,0.1541,0.1523,
2024-08-08,0.2021,0.1044,0.1401,0.0479,0.0538,0.1988,0.0670,0.1464,0.0462,0.1079,0.1455,0.2001,0.1921,0.0268,0.1478,0.0519,0.0000,0.1216,0.1197,
2024-08-07,0.1584,0.1101,0.1478,0.0506,0.0452,0.1549,0.0568,0.0996,0.0487,0.1050,0.1535,0.1563,0.1478,0.0165,0.1011,0.0000,0.0000,0.0879,0.0859,
2024-08-06,0.1124,0.0614,0.1011,0.0533,0.0364,0.1086,0.0463,0.1051,0.0514,0.1029,0.1071,0.1101,0.1011,0.0060,0.0519,0.0000,0.0000,0.0528,0.0508,
