word,answer
overhang,"הצפה<hr>Huddled under the small overhang, off to the side, she hoped that no one would answer that knock. "
overseers,"משגיחים<hr>Theron had discovered, however, that those acolytes and their overseers brought down with them large amounts of Ministry funds—disguised as baggage—to be strongholded in Luthadel. "
own,"משלו<hr>She had shooed him out of the room once they had Marina in bed, insisting that he change his own clothing before he caught his death as well. "
packmen,"פקמנים<hr>He is young to receive so much respect from the other packmen. </hr>She watched the packmen for a moment, sensing something . . . odd. "
pallet,"משטחים<hr>She moved to her pallet, the muffled sounds of men laughing and drinking sounding from the other room. "
palpable,מוחשי<hr>There was a palpable sense of danger in the air. 
pandemonium,פנדמוניום<hr>“I can’t control pandemonium on that level. 
pang,"פאנג<hr>Richard felt a pang of loneliness for his mother, a feeling that had visited him from time to time throughout his life. "
pant,מכנסיים<hr>Richard began to pant as his heart pounded out of control. 
panting,מתנשף<hr>She realized that she was panting. 
pantry,"מזווה<hr>He had spoken correctly: The pantry’s offerings had been depressingly mundane. </hr>She brushed past Ulef and hopped out of the trapdoor, moving into a hallway, then a run-down pantry. "
parasol,"שמשייה<hr>Lord Tresting frowned, glancing up at the ruddy midday sky as his servants scuttled forward, opening a parasol over Tresting and his distinguished guest. </hr>Tresting removed a handkerchief and wiped his brow, thankful for the parasol’s shade against the midday heat. "
patronage,"חסות<hr>Without the Ministry’s patronage, my house is financially doomed.” "
peg,"יתד<hr>He looked up and there, right where he remembered it being, he saw the iron peg. "
penal,"עונשין<hr>It’s not just a penal colony, not just a hellhole where skaa are sent to die. "
Peninsula,"חצי אי<hr>“In a land near the Far Peninsula, a land where people still remember what their old kingdom was called in the days before the Ascension.” "
penned,"עט<hr>“A record that appears to have been penned by the Lord Ruler himself—or, rather, the man who became the Lord Ruler. "
people,"אנשים<hr>On the next day, Kelsier’s words would be repeated to the several hundred people who lived in other hovels. "
perked,הטבה<hr>Vin perked up. </hr>Vin perked up. 
perky,"פרקי<hr>She eyed a yellow gown, but it just seemed a little too . . . perky. "
perpetually,"תָּמִיד<hr>Not only would you run out of it very quickly, but perpetually flaring metals does . . . strange things to people.” "
pertinent,"רלוונטי<hr>As much as he did want to tell it all to her, he wanted to tell her the entire story when he could discuss it, along with some of the questions he had, so he decided for the moment to leave out most of the details and kept it to the pertinent point. "
perverse,סוטה<hr>Zedd had said that the sliph wasn’t being perverse; she simply couldn’t help the way others had created her. 
pesky,מציקים<hr>It was his pesky weight again; it tugged him down. 
pester,מציק<hr>“What did you do at these parties before you had me to pester?” 
petitioning,"עתירה<hr>If they began poking around, they would find that Entrone’s gambling opponent at the night’s bloodfight had been Crews Geffenry—a man whose house had been petitioning the Tekiels for a stronger alliance. "
